246-Trinitrotoluene/xmlformat,NA,NA,NA,1,1,2017-09-13 14:33:01 UTC,2017-09-13 14:51:49 UTC,F,F,F,F,F,F,F,F,T,F,F,F,20,20,0,NA,NA,NA
4orecast/4orecast-Library,NA,NA,NA,0,1,2017-04-20 00:25:06 UTC,2017-04-20 01:37:38 UTC,F,F,F,F,F,F,F,F,T,F,F,F,20,20,0,NA,NA,NA
5aab/randoop-maven-plugin,F,1,Maven,3,1,2018-04-30 06:15:06 UTC,2018-04-30 15:58:12 UTC,F,F,F,F,T,F,F,F,T,F,F,F,12,12,0,dependencies,DependencyResolution,NA
5hawnknight/hpa-design-example,T,0,Gradle,0,1,2015-05-30 02:52:29 UTC,2015-10-22 18:09:16 UTC,F,F,T,F,T,F,F,F,T,F,F,F,70,136,66,NA,NA,NA
9527crazy/CQCET__Easyschool,NA,NA,NA,0,2,2019-09-19 09:17:09 UTC,2020-07-02 00:39:34 UTC,F,F,F,F,T,F,F,F,T,F,F,F,55,55,0,NA,NA,NA
AbhilashG97/WatermelonCupcake,NA,NA,NA,0,3,2017-10-17 12:08:13 UTC,2019-07-24 00:16:38 UTC,F,F,F,F,F,F,F,F,T,F,F,F,35,35,0,NA,NA,NA
AdrienVR/PizzaService,NA,NA,NA,0,1,2014-11-25 15:26:20 UTC,2014-12-16 16:56:56 UTC,F,F,F,F,T,F,F,F,T,F,F,F,503,503,0,NA,NA,NA
AgileBitFlipper/triominos,F,1,Maven,4,2,2017-12-05 18:25:37 UTC,2020-06-04 20:45:47 UTC,F,F,F,F,T,F,F,T,T,F,F,F,82,204,122,uncategorized,MojoFailure:maven-surefire-plugin,NA
Alex-zs/landloards,T,0,Maven,0,1,2019-02-16 16:14:02 UTC,2019-02-16 16:44:07 UTC,F,F,F,F,T,F,F,F,T,F,F,F,45,100,55,NA,NA,NA
AlexRomanov98/Logging,NA,NA,NA,1,1,2018-03-09 18:35:36 UTC,2018-03-13 14:40:24 UTC,F,F,F,F,F,F,F,F,T,F,F,F,20,20,0,NA,NA,NA
Alicyu1024/microservice-springcloud,NA,NA,NA,1,3,2019-09-10 03:10:27 UTC,2020-07-02 00:34:24 UTC,F,F,F,F,T,F,F,F,T,F,F,F,652,652,0,NA,NA,NA
Alontrle/Xilla-Backups,NA,NA,NA,1,1,2020-04-20 00:36:17 UTC,2020-04-20 17:55:54 UTC,F,F,T,F,F,F,F,F,T,F,F,F,349,349,0,NA,NA,NA
Anarchist-xxxx/PandoLiA,NA,NA,NA,1,1,2018-12-26 11:24:40 UTC,2019-01-17 17:44:01 UTC,F,F,F,F,F,F,F,F,T,F,F,F,18,18,0,NA,NA,NA
AndreamApp/homeward,NA,NA,NA,2,1,2018-07-03 06:24:01 UTC,2018-07-03 06:24:15 UTC,F,F,F,F,F,F,F,F,T,F,F,F,74,74,0,NA,NA,NA
AndroidGears/Plugin,NA,NA,NA,51,6,2014-03-31 16:15:40 UTC,2017-04-17 02:02:47 UTC,F,F,F,F,F,F,F,F,T,F,F,F,128,128,0,NA,NA,NA
AnishEllore/Quiz_generator,NA,NA,NA,0,1,2018-01-21 11:12:42 UTC,2018-02-13 13:30:42 UTC,F,F,F,F,F,F,F,F,T,F,F,F,40,40,0,NA,NA,NA
AntonioNtV/provasLP2,NA,NA,NA,1,1,2019-06-10 22:28:53 UTC,2019-11-30 19:05:22 UTC,F,F,F,F,F,F,F,F,T,F,F,F,88,88,0,NA,NA,NA
Apicurio/apicurio-registry,T,0,Maven,58,40,2019-07-16 12:44:20 UTC,2020-07-21 16:29:51 UTC,F,F,F,T,T,F,F,F,T,F,F,T,1258,75904,74646,NA,NA,NA
AppengineRo/wkhtmltopdf,F,1,Maven,2,1,2014-05-04 09:55:40 UTC,2015-10-02 08:57:21 UTC,F,F,F,F,T,F,F,F,T,F,F,F,329,329,0,dependencies,PluginResolution,NA
AuthMe/ConfigMe,T,0,Maven,15,4,2016-07-08 13:30:30 UTC,2020-07-20 05:55:19 UTC,F,F,F,F,T,F,F,F,T,F,T,F,265,582,317,NA,NA,NA
Axway-syncplicity/Syncplicity-Java-CLI-Sample,NA,NA,NA,0,1,2018-06-13 13:55:29 UTC,2020-02-27 06:35:57 UTC,F,F,F,F,F,F,F,T,T,F,F,F,133,133,0,NA,NA,NA
AzortisCode/ProtocolVanish,T,0,Maven,6,3,2019-07-11 22:28:11 UTC,2020-07-01 21:48:05 UTC,F,F,F,F,T,F,F,F,T,F,F,F,112,244,132,NA,NA,NA
Azure-Samples/azure-cosmosdb-bulkingestion,T,0,Maven,5,3,2019-07-09 18:28:26 UTC,2020-06-16 00:13:59 UTC,F,F,F,F,T,F,F,T,T,F,F,F,87,127,44,NA,NA,NA
BSI-Business-Systems-Integration-AG/helloscout,NA,NA,NA,2,2,2017-10-06 11:28:15 UTC,2020-03-13 17:11:12 UTC,F,F,F,F,T,F,F,T,T,F,F,F,368,368,0,NA,NA,NA
Bathlamos/Sudoku-Solver,NA,NA,NA,0,1,2015-03-07 01:55:40 UTC,2015-04-28 20:38:22 UTC,F,F,F,F,F,F,F,F,T,F,F,F,24,24,0,NA,NA,NA
BattleShipers/BattleShips,NA,NA,NA,1,2,2019-01-22 17:30:20 UTC,2019-01-26 17:59:05 UTC,F,F,F,F,F,F,F,F,T,F,F,F,13,13,0,NA,NA,NA
BharathUpasi/SparkJavaStreaming,T,0,Maven,0,1,2018-07-25 06:46:06 UTC,2018-07-25 08:49:09 UTC,F,F,F,F,T,F,F,F,T,F,F,F,34,89,55,NA,NA,NA
BiosemanticsDotOrg/GeneDiseasePaper,NA,NA,NA,4,1,2015-07-07 08:37:12 UTC,2016-11-24 14:10:58 UTC,T,F,F,F,F,F,F,T,T,T,F,F,1162,1162,0,NA,NA,NA
BlWasp/multi-user_Dungeon,NA,NA,NA,2,2,2018-12-04 13:46:40 UTC,2019-03-28 13:04:56 UTC,F,F,F,F,F,F,F,F,T,F,F,F,41,41,0,NA,NA,NA
Blank-mind/scaffold,T,0,Maven,0,1,2018-03-03 01:34:27 UTC,2018-03-26 14:40:15 UTC,F,F,F,F,T,F,F,F,T,F,F,F,107,140,33,NA,NA,NA
BloodShura/VenusScript,F,1,Maven,13,1,2016-05-09 00:06:01 UTC,2019-06-04 22:18:41 UTC,F,F,F,F,T,F,F,F,T,F,F,F,219,896,677,documentation generation,MojoExecution:maven-javadoc-plugin,NA
BorderTech/wcomponents,T,0,Maven,18,19,2015-03-10 02:59:08 UTC,2020-07-06 15:16:51 UTC,T,F,F,T,T,F,F,F,T,F,T,T,2455,33691,31236,NA,NA,NA
CS2103AUG2016-W11-C1/main,F,1,Gradle,2,1,2016-09-16 00:55:16 UTC,2016-11-08 07:10:05 UTC,F,F,T,F,F,F,F,F,T,F,T,F,256,272,16,Java compilation,CompilationFailed,package javafx.collections does not exist
Cantara/ConfigService-Dashboard,F,1,Maven,1,1,2016-04-19 07:32:35 UTC,2020-07-18 09:49:05 UTC,F,F,F,F,T,F,F,F,T,F,F,F,166,674,508,documentation generation,MojoExecution:maven-javadoc-plugin,NA
ChronoSky/java_for_testing,NA,NA,NA,0,1,2017-06-06 12:57:31 UTC,2017-08-20 18:26:53 UTC,F,F,T,F,F,F,F,F,T,F,F,F,134,134,0,NA,NA,NA
ChronosX88/JGUN,T,0,Gradle,6,3,2019-05-03 08:26:07 UTC,2019-10-11 13:29:53 UTC,F,F,T,F,F,F,F,F,T,F,F,F,45,206,161,NA,NA,NA
Cognifide/IntelliJ-Shortcuts-For-AEM,NA,NA,NA,12,2,2016-09-23 09:54:04 UTC,2017-02-05 14:22:05 UTC,F,F,F,F,F,F,F,F,T,F,F,F,22,22,0,NA,NA,NA
ConstellationHoundDogs/DBUtil,F,1,Maven,2,1,2013-11-29 20:59:17 UTC,2013-12-03 17:20:48 UTC,F,F,F,F,T,F,F,F,T,F,F,F,129,135,6,Java compilation,MojoFailure:maven-compiler-plugin,Source option 5 is no longer supported. Use 6 or later.
CoolJWB/VulnerabilityPatcher,F,1,Gradle,2,3,2019-01-12 00:58:24 UTC,2020-07-19 23:54:20 UTC,F,F,T,F,F,F,F,F,T,F,F,F,72,88,16,Java compilation,CompilationFailed,package net.minecraft.server.v1_13_R2 does not exist
CriptoCosmo/jdbc-apt-util,T,0,Maven,1,1,2019-03-14 10:08:56 UTC,2019-03-15 15:06:42 UTC,F,F,F,F,T,F,F,F,T,F,F,F,18,44,26,NA,NA,NA
CyberBiology/Genesis,NA,NA,NA,79,28,2018-04-17 12:53:02 UTC,2020-04-19 15:52:48 UTC,F,F,F,F,F,F,F,F,T,F,F,F,14,14,0,NA,NA,NA
CyberSource/cybersource-flex-samples-java,NA,NA,NA,16,22,2016-04-27 16:31:54 UTC,2020-05-20 03:56:16 UTC,F,F,F,F,T,F,F,F,T,F,F,F,44,44,0,NA,NA,NA
DV-Anh/EC-Assignments,NA,NA,NA,0,2,2018-07-28 03:45:26 UTC,2018-08-19 13:46:51 UTC,F,F,F,F,F,F,F,F,T,F,F,F,102,102,0,NA,NA,NA
DanielFGA/Dafny4IntelliJ,F,1,Gradle,0,1,2019-03-27 13:46:10 UTC,2019-07-31 02:07:00 UTC,F,F,T,F,F,F,F,F,T,F,F,F,74,75,1,build files parsing/interpretation,MissingProperty,NA
DavidNovo/storm-simple,F,1,Maven,0,1,2014-04-14 00:38:43 UTC,2019-04-14 20:02:20 UTC,F,F,F,F,T,F,F,F,T,F,F,F,30,38,10,Java compilation,MojoFailure:maven-compiler-plugin,cannot find symbol
Devintia/Commons,F,1,Maven,1,1,2016-05-04 17:35:50 UTC,2017-09-01 15:00:38 UTC,F,F,F,F,T,F,F,F,T,F,F,F,87,87,0,dependencies,DependencyResolution,NA
Dharani-18/Music-library,NA,NA,NA,0,1,2019-05-27 04:01:43 UTC,2019-06-28 08:32:43 UTC,F,F,T,F,F,F,F,F,T,F,F,F,105,105,0,NA,NA,NA
DianaTdr/AVSimulatorProject,F,1,Maven,0,2,2018-01-17 16:45:05 UTC,2018-04-19 15:52:58 UTC,F,F,F,T,T,F,F,F,T,F,F,F,2539,2568,29,Java compilation,MojoFailure:maven-compiler-plugin,bootstrap class path not set in conjunction with -source 8
